code,name,limit_pct,launch_date,end_date,run_length,max_obs_days,total_shares,pre_ret20,pre_vol,pre_amp,vol_ratio_l5_f10,vol_min_ratio,max_dd,gap_ups,ma_align,dist_from_high,last3_ret,last_day_vol_ratio,exch_avg,launch_price,launch_mcap_yi,ma5,ma10,ma20
sh603758,秦安股份,0.1,2026-08-07,2026-08-13,5,5,433116049.0,-0.008324661810613976,0.02464320750423061,0.17408441451798323,1.0119667666672645,0.6298093101514302,0.11030176899063462,0,1,-0.04509018036072155,0.0052742616033754075,2.2539259674705554,0.8205,10.48,45.390561935200004,9.394,9.163,9.1335
sz300862,蓝盾光电,0.2,2026-08-10,2026-08-14,5,5,184617902.0,-0.06813725490196065,0.045477321147831797,0.39760333545020293,2.058504245249796,0.4949776805754569,0.26919385796545103,0,0,-0.10330188679245272,0.24086161879895562,3.1160286866553903,3.6770000000000005,22.81,42.111343446199996,16.708000000000002,16.686,18.1085
sz002412,汉森制药,0.1,2026-08-19,2026-08-25,5,5,503200000.0,0.14008941877794334,0.032873438447087275,0.2879820186837113,0.5205710692691611,0.5100808154842258,0.11111111111111115,1,1,-0.057881773399014645,0.042234332425068244,0.9252711667994074,8.619499999999999,8.42,42.36944,7.4239999999999995,7.289,7.1185
sz000017,深中华A,0.1,2026-08-20,2026-08-28,7,7,689184933.0,0.033450704225352235,0.01799868636002577,0.21091090259902012,0.5435261737039693,0.45813988253212384,0.0682539682539682,0,0,-0.07993730407523508,-0.021666666666666612,0.7840363279481252,2.0945,6.46,44.5213466718,5.982,6.090999999999999,6.0215
sz003040,楚天龙,0.1,2026-08-21,2026-08-27,5,5,461135972.0,0.1537698412698414,0.0373702241687621,0.3062773849290703,1.2633044427138183,0.5224008157082276,0.1717557251908397,1,0,-0.14042867701404277,-0.01273344651952446,1.577639292187442,4.233,12.79,58.97929081879999,11.506,12.007,11.5255
sz002084,海鸥住工,0.1,2026-08-24,2026-09-01,7,7,646056040.0,0.06528189910979232,0.02723058407661903,0.1814988290398127,1.960089404156533,0.5600625908083875,0.05322128851540615,0,0,-0.016438356164383577,0.055882352941176494,2.330447621873816,3.3225000000000002,3.95,25.51921358,3.474,3.4909999999999997,3.4159999999999995
sh600371,万向德农,0.1,2026-08-25,2026-09-01,6,6,292578000.0,0.22550544323483668,0.042564845127871426,0.43933483884212676,6.572269640185557,0.2424873770005317,0.1351955307262569,1,1,-0.17313746065057709,-0.11955307262569825,2.634309473403415,4.727,8.67,25.3665126,8.262,7.758,7.3065
sz002855,捷荣技术,0.1,2026-08-25,2026-09-01,6,6,246419682.0,0.08932461873638342,0.017505133659501303,0.1337047353760446,0.7357257334743406,0.5970549597573647,0.042156862745098014,0,0,-0.029126213592233077,0.023541453428863823,1.0280009888975248,1.2565,11,27.10616502,10.026,10.062999999999999,9.872499999999999
sh600540,新赛股份,0.1,2026-08-27,2026-09-02,5,5,581376960.0,0.2192982456140351,0.03670846386629963,0.266429840142096,0.9134862474926879,0.3531473454132352,0.07925407925407922,1,1,-0.06081081081081091,0.05569620253164542,0.7375379963968924,7.075,4.59,26.685202464,4.07,4.051,3.9410000000000003
sh601086,国芳集团,0.1,2026-08-28,2026-09-03,5,5,666000000.0,-0.041719342604298326,0.016903759169924853,0.13286489939316512,0.3615209341047608,0.3940455945672024,0.09157509157509147,0,0,-0.08121212121212121,0.018817204301075252,0.5912426968911607,2.0685,8.34,55.5444,7.526000000000001,7.656999999999999,7.827500000000001
sh605577,龙版传媒,0.1,2026-08-31,2026-09-07,6,6,444444445.0,-0.01831129196337744,0.030721753947244093,0.16199694345389706,1.6171730426297901,0.4663045307891505,0.11059479553903341,0,0,-0.11710887465690754,-0.034034034034034044,0.7689099356298088,1.357,10.62,47.200000059,9.718,9.895,9.815000000000001
sh600865,百大集团,0.1,2026-09-03,2026-09-09,5,5,376240316.0,0.06955530216647676,0.02499104424592401,0.17250070008400997,2.0382664986092065,0.5364273404324735,0.06892778993435457,0,1,-0.057286432160803875,0.011866235167206085,2.081533066273284,2.0755,10.32,38.8280006112,9.278,8.978,8.9275
